date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,205.69,208.31,203.02,207.62,899689,1.70,0.83%,207.62,186313250.87,9836
2018-03-09,207.47,208.75,202.81,205.92,1064673,-0.62,-0.30%,205.92,217853998.25,13742
2018-03-08,202.35,206.96,200.13,206.54,1023144,5.47,2.72%,206.54,209990136.97,11889
2018-03-07,197.76,202.13,196.07,201.07,921920,0.85,0.42%,201.07,184146972.52,10321
2018-03-06,198.40,202.89,198.40,200.22,1266054,2.34,1.18%,200.22,254171580.53,11383
2018-03-05,194.00,198.34,192.50,197.88,1314496,3.88,2.00%,197.88,257079133.57,13287
2018-03-02,198.08,199.08,191.701,194.00,2207951,-6.71,-3.34%,194.00,429344998.70,22996
2018-03-01,203.62,204.84,199.54,200.71,808077,-2.64,-1.30%,200.71,162882488.17,11842
2018-02-28,204.49,208.98,203.33,203.35,997293,0.29,0.14%,203.35,205368467.56,11760
2018-02-27,198.90,204.89,198.29,203.06,1217491,4.13,2.08%,203.06,246084805.89,12811
2018-02-26,206.90,207.04,198.32,198.93,1634826,-8.18,-3.95%,198.93,327463104.24,17936
2018-02-23,205.00,207.21,203.77,207.11,852282,3.06,1.50%,207.11,175694971.77,8752
2018-02-22,201.26,204.84,199.54,204.05,953784,2.86,1.42%,204.05,193651708.98,10244
2018-02-21,202.21,204.8399,199.83,201.19,728667,0.06,0.03%,201.19,147486327.97,8765
2018-02-20,200.15,205.00,199.50,201.13,985613,-2.02,-0.99%,201.13,199255309.82,12470
2018-02-16,204.45,205.7305,201.63,203.15,1061074,-0.85,-0.42%,203.15,216231506.24,11669
2018-02-15,207.24,208.25,203.38,204.00,1261140,-2.76,-1.33%,204.00,258609587.84,13282
2018-02-14,204.74,208.64,204.70,206.76,1299033,-0.03,-0.01%,206.76,268360734.90,13881
2018-02-13,208.44,211.25,206.26,206.79,1071585,-2.69,-1.28%,206.79,222547849.74,12965
2018-02-12,219.97,222.22,204.75,209.48,2647360,-9.07,-4.15%,209.48,555428385.28,26079
2018-02-09,211.00,220.44,205.50,218.55,1325542,9.46,4.52%,218.55,281629799.07,18042
2018-02-08,218.88,219.94,209.01,209.09,1022063,-8.97,-4.11%,209.09,217763727.20,11161
2018-02-07,217.99,221.67,216.91,218.06,753520,-0.53,-0.24%,218.06,165013908.43,10512
2018-02-06,210.79,222.13,207.34,218.59,1650174,5.60,2.63%,218.59,358739816.01,25998
2018-02-05,218.51,224.39,212.99,212.99,1902090,-6.48,-2.95%,212.99,414710546.65,14936
2018-02-02,219.18,221.96,216.20,219.47,1030709,0.07,0.03%,219.47,226035774.15,13372
2018-02-01,220.60,222.02,217.53,219.40,810126,-2.70,-1.22%,219.40,178170158.93,10525
2018-01-31,226.46,226.89,221.02,222.10,989546,-3.95,-1.75%,222.10,221061889.78,11980
2018-01-30,225.84,228.785,223.065,226.05,737836,-3.10,-1.35%,226.05,166371700.84,9066
2018-01-29,227.53,230.90,225.38,229.15,996321,1.46,0.64%,229.15,227915437.87,11041
2018-01-26,226.88,229.35,223.41,227.69,1450685,0.40,0.18%,227.69,329813330.50,13851
2018-01-25,224.87,228.74,223.00,227.29,1128703,2.98,1.33%,227.29,255987166.50,12848
2018-01-24,228.33,228.33,220.67,224.31,1702006,-4.48,-1.96%,224.31,381297449.50,18354
2018-01-23,233.85,234.78,227.88,228.79,1919241,-6.22,-2.65%,228.79,441712220.26,19341
2018-01-22,240.88,241.785,232.74,235.01,1973572,-9.12,-3.74%,235.01,465395120.15,17740
2018-01-19,244.90,247.30,241.6575,244.13,1235142,0.98,0.40%,244.13,302846193.71,13462
2018-01-18,238.82,243.96,238.255,243.15,1075346,4.46,1.87%,243.15,260602364.91,12767
2018-01-17,245.19,245.73,237.60,238.69,1363170,1.57,0.66%,238.69,327079053.42,16098
2018-01-16,238.29,238.68,234.68,237.12,832400,-0.20,-0.08%,237.12,196861676.87,10224
2018-01-12,233.54,237.72,233.49,237.32,1086690,4.17,1.79%,237.32,256832547.26,9938
2018-01-11,231.40,233.50,228.01,233.15,702856,2.70,1.17%,233.15,162913819.88,9404
2018-01-10,231.17,233.16,229.15,230.45,517646,-2.47,-1.06%,230.45,119552123.88,7483
2018-01-09,231.20,233.54,227.818,232.92,940135,1.78,0.77%,232.92,217337860.59,11059
2018-01-08,237.25,238.9913,230.18,231.14,1348934,-6.82,-2.87%,231.14,313396634.32,14224
2018-01-05,244.44,244.75,235.02,237.96,1811790,-6.92,-2.83%,237.96,431788318.44,15681
2018-01-04,248.01,249.30,240.25,244.88,1250624,-0.24,-0.10%,244.88,304849547.46,14506
2018-01-03,235.77,246.52,234.38,245.12,1975001,15.49,6.75%,245.12,479360315.69,22793
2018-01-02,224.44,231.00,224.44,229.63,972917,5.97,2.67%,229.63,223128971.58,10691
2017-12-29,224.98,225.14,222.35,223.66,668078,-1.67,-0.74%,223.66,149601235.43,7624
2017-12-28,225.27,225.60,223.00,225.33,496835,-0.32,-0.14%,225.33,111522882.09,6043
2017-12-27,226.49,227.6507,224.60,225.65,517868,-1.03,-0.45%,225.65,116791613.63,6101
2017-12-26,227.74,229.97,224.34,226.68,1381355,0.41,0.18%,226.68,313205772.21,15051
2017-12-22,229.29,229.5599,224.73,226.27,1232628,-2.30,-1.01%,226.27,278739637.58,11811
2017-12-21,226.29,229.58,225.93,228.57,1448959,2.57,1.14%,228.57,330763336.98,14483
2017-12-20,228.49,230.89,224.21,226.00,897724,-1.47,-0.65%,226.00,202946917.00,9335
2017-12-19,227.41,230.80,223.92,227.47,1159598,4.81,2.16%,227.47,264359069.95,11923
2017-12-18,219.68,224.44,219.32,222.66,812358,4.41,2.02%,222.66,180855950.42,10646
2017-12-15,218.37,220.10,216.01,218.25,1750216,1.08,0.50%,218.25,381708883.22,15446
2017-12-14,216.08,218.2624,214.75,217.17,1389735,2.14,1.00%,217.17,301579620.17,11958
2017-12-13,215.76,217.47,213.23,215.03,1069744,0.16,0.07%,215.03,230008300.78,11110
2017-12-12,216.25,217.225,210.72,214.87,1860142,-1.27,-0.59%,214.87,397725532.55,17251
2017-12-11,224.16,224.43,215.5638,216.14,1142609,-8.40,-3.74%,216.14,248982939.27,13677
2017-12-08,222.41,225.309,219.1301,224.54,1465536,2.95,1.33%,224.54,326992973.13,14129
2017-12-07,223.96,227.52,221.15,221.59,1039522,-1.55,-0.69%,221.59,232437476.80,12212
2017-12-06,222.68,225.26,219.53,223.14,1280602,-0.83,-0.37%,223.14,285633592.94,17671
2017-12-05,223.77,226.14,219.7975,223.97,1567853,2.33,1.05%,223.97,350381526.03,18745
2017-12-04,212.74,226.92,212.74,221.64,2663024,9.06,4.26%,221.64,589492622.27,29379
2017-12-01,208.07,217.61,201.00,212.58,6694667,-9.13,-4.12%,212.58,1395331022.12,68437
2017-11-30,224.61,226.899,218.58,221.71,2723743,-1.39,-0.62%,221.71,607276031.86,26722
2017-11-29,218.98,227.40,218.82,223.10,1991698,6.03,2.78%,223.10,442713563.89,24754
2017-11-28,208.30,217.27,206.64,217.07,1815018,10.38,5.02%,217.07,386831831.49,17820
2017-11-27,210.95,212.00,205.84,206.69,1162525,-3.68,-1.75%,206.69,241206928.60,14858
2017-11-24,212.69,214.08,209.27,210.37,438178,-1.93,-0.91%,210.37,92437963.84,6384
2017-11-22,210.16,215.41,209.72,212.30,1152800,2.34,1.11%,212.30,245934817.52,13427
2017-11-21,207.06,211.90,203.09,209.96,1643900,0.80,0.38%,209.96,343104739.11,18094
2017-11-20,215.77,216.05,208.745,209.16,1282127,-5.94,-2.76%,209.16,270025716.01,12871
2017-11-17,208.02,215.68,206.61,215.10,1690707,9.14,4.44%,215.10,360405338.18,19864
