date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,24.45,24.61,24.23,24.42,3819915,0.23,0.95%,24.42,93348095.60,31018
2018-03-09,24.18,24.50,23.91,24.19,5069429,0.23,0.96%,24.19,122747001.94,39517
2018-03-08,24.03,24.16,23.60,23.96,5158058,0.025,0.10%,23.96,123385987.95,34941
2018-03-07,24.22,24.23,22.96,23.935,9295134,-0.485,-1.99%,23.935,219050419.87,63936
2018-03-06,24.69,24.80,24.12,24.42,5445399,-0.12,-0.49%,24.42,133229811.07,44923
2018-03-05,24.42,24.85,24.31,24.54,5975793,-0.13,-0.53%,24.54,147192147.70,42996
2018-03-02,23.85,24.735,23.83,24.67,6557427,0.61,2.54%,24.67,160335149.21,45866
2018-03-01,24.49,24.71,23.83,24.06,5713401,-0.26,-1.07%,24.06,138262315.94,49644
2018-02-28,25.29,25.40,24.30,24.32,15719915,-1.72,-6.61%,24.32,388061868.85,112145
2018-02-27,25.21,26.67,24.30,26.04,10644277,0.87,3.46%,26.04,276688752.03,76261
2018-02-26,24.04,25.25,23.95,25.17,7395239,1.16,4.83%,25.17,183964749.26,54947
2018-02-23,23.89,24.10,23.57,24.01,3070765,0.21,0.88%,24.01,73352395.33,24909
2018-02-22,24.18,24.495,23.745,23.80,3738729,-0.29,-1.20%,23.80,89588646.86,29805
2018-02-21,24.21,24.54,24.07,24.09,3759656,-0.22,-0.90%,24.09,91256152.51,32053
2018-02-20,23.93,24.71,23.89,24.31,4468438,0.45,1.89%,24.31,108685544.90,32272
2018-02-16,23.99,24.125,23.70,23.86,2951943,-0.18,-0.75%,23.86,70603250.20,23090
2018-02-15,24.05,24.12,23.66,24.04,3789133,0.21,0.88%,24.04,90629316.70,27707
2018-02-14,23.26,23.865,23.26,23.83,4356399,0.30,1.27%,23.83,103177189.16,33346
2018-02-13,22.96,23.63,22.88,23.53,3807011,0.44,1.91%,23.53,89188792.08,30703
2018-02-12,22.69,23.52,22.54,23.09,3822111,0.48,2.12%,23.09,88611752.63,32434
2018-02-09,22.82,22.98,21.37,22.61,6930446,-0.26,-1.14%,22.61,154207053.04,51843
2018-02-08,23.12,23.88,22.86,22.87,5046923,-0.25,-1.08%,22.87,117843870.49,40670
2018-02-07,23.89,24.49,22.81,23.12,5371789,-0.72,-3.02%,23.12,126194496.93,42121
2018-02-06,22.38,24.16,22.15,23.84,6550031,1.06,4.65%,23.84,154655336.45,56820
2018-02-05,23.64,23.835,22.74,22.78,9456074,-1.03,-4.33%,22.78,220170281.49,69255
2018-02-02,25.07,25.25,23.57,23.81,7838761,-1.47,-5.81%,23.81,189385743.48,59751
2018-02-01,24.92,25.60,24.90,25.28,4691288,0.21,0.84%,25.28,118666735.14,35376
2018-01-31,25.12,25.51,24.77,25.07,4630258,0.10,0.40%,25.07,116140997.56,29401
2018-01-30,25.68,26.08,24.84,24.97,6383462,-0.94,-3.63%,24.97,160811255.49,38180
2018-01-29,25.90,26.11,25.62,25.91,3470014,-0.13,-0.50%,25.91,89684725.70,26910
2018-01-26,25.70,26.06,25.56,26.04,2620411,0.31,1.20%,26.04,67785551.67,21574
2018-01-25,26.07,26.13,25.57,25.73,3898812,-0.28,-1.08%,25.73,100414807.58,28757
2018-01-24,25.64,26.11,25.502,26.01,2880923,0.31,1.21%,26.01,74601627.85,22863
2018-01-23,26.23,26.23,25.36,25.70,4565661,-0.63,-2.39%,25.70,117240042.80,34922
2018-01-22,25.73,26.50,25.58,26.33,4751238,0.62,2.41%,26.33,124385448.58,34397
2018-01-19,25.58,25.74,25.16,25.71,4177065,0.12,0.47%,25.71,106728400.85,27148
2018-01-18,24.60,25.775,24.59,25.59,5098686,0.89,3.60%,25.59,129915294.28,29241
2018-01-17,24.48,25.14,24.29,24.70,5115900,0.17,0.69%,24.70,126187239.28,34432
2018-01-16,24.40,24.89,24.31,24.53,5526291,0.20,0.82%,24.53,136190495.66,36421
2018-01-12,24.07,24.37,23.725,24.33,4081954,0.32,1.33%,24.33,98192403.55,29358
2018-01-11,22.94,24.05,22.86,24.01,7532609,1.18,5.17%,24.01,178769398.19,47940
2018-01-10,21.53,23.12,21.13,22.83,10068502,1.18,5.45%,22.83,226588717.64,63941
2018-01-09,22.30,22.61,21.58,21.65,5594986,-0.72,-3.22%,21.65,123317144.97,35282
2018-01-08,22.05,22.41,21.79,22.37,4103817,0.37,1.68%,22.37,91112222.76,23778
2018-01-05,22.18,22.23,21.58,22.00,8498841,-0.13,-0.59%,22.00,185405106.02,46133
2018-01-04,22.68,22.71,21.88,22.13,7875962,-0.49,-2.17%,22.13,174177931.38,45993
2018-01-03,23.18,23.34,22.585,22.62,5293216,-0.49,-2.12%,22.62,121063773.86,40457
2018-01-02,22.96,23.37,22.43,23.11,5028162,0.73,3.26%,23.11,116135638.73,33355
2017-12-29,22.64,22.80,22.36,22.38,2893222,-0.17,-0.75%,22.38,65101528.15,19606
2017-12-28,23.05,23.10,22.33,22.55,4675786,-0.50,-2.17%,22.55,105685982.05,29705
2017-12-27,23.73,23.76,23.005,23.05,4230338,-0.52,-2.21%,23.05,98174067.37,27616
2017-12-26,23.63,24.095,23.46,23.57,3729144,-0.16,-0.67%,23.57,88327811.16,25594
2017-12-22,23.27,23.83,23.09,23.73,4746148,0.37,1.58%,23.73,112236082.07,36902
2017-12-21,23.18,23.89,22.95,23.36,12797050,0.99,4.43%,23.36,300133014.37,80267
2017-12-20,22.01,22.47,21.95,22.37,7442443,0.36,1.64%,22.37,165989327.20,37471
2017-12-19,21.64,22.16,21.405,22.01,5938929,0.37,1.71%,22.01,130153980.85,38412
2017-12-18,21.37,21.72,20.77,21.64,6667043,0.60,2.85%,21.64,142618463.69,39940
2017-12-15,20.77,21.7398,20.4699,21.04,19056077,1.00,4.99%,21.04,399267193.87,77811
2017-12-14,19.79,20.33,19.50,20.04,4285185,0.25,1.26%,20.04,85761241.46,27787
2017-12-13,19.60,19.92,19.115,19.79,5523706,0.14,0.71%,19.79,108261036.14,39703
2017-12-12,19.85,19.87,19.38,19.65,4485044,-0.12,-0.61%,19.65,87803912.70,29048
2017-12-11,19.65,20.045,19.45,19.77,6460625,0.11,0.56%,19.77,127830688.60,47303
2017-12-08,19.58,19.89,19.32,19.66,4223690,0.13,0.67%,19.66,82918806.29,29587
2017-12-07,19.35,19.69,19.03,19.53,5741753,0.09,0.46%,19.53,112000385.25,34073
2017-12-06,20.08,20.14,19.39,19.44,6044662,-0.42,-2.11%,19.44,118198100.51,39303
2017-12-05,20.78,20.91,19.785,19.86,9529002,-0.99,-4.75%,19.86,191055480.03,58489
2017-12-04,19.67,20.975,19.626,20.85,14287759,1.39,7.14%,20.85,295310933.23,79768
2017-12-01,18.90,19.60,18.79,19.46,11037662,0.44,2.31%,19.46,212148278.70,59143
2017-11-30,19.00,19.16,18.50,19.02,10490426,0.15,0.79%,19.02,197645143.80,56053
2017-11-29,17.97,18.89,17.87,18.87,8084934,0.90,5.01%,18.87,150617897.96,57698
2017-11-28,17.44,17.98,17.23,17.97,4285996,0.50,2.86%,17.97,75566219.75,27809
2017-11-27,17.52,17.56,17.20,17.47,3781047,-0.03,-0.17%,17.47,65829400.79,26186
2017-11-24,17.74,17.82,17.47,17.50,2263104,-0.29,-1.63%,17.50,39798731.95,15965
2017-11-22,17.32,17.98,17.15,17.79,4446265,0.54,3.13%,17.79,78948054.74,29045
2017-11-21,17.39,17.4862,16.98,17.25,4861270,-0.11,-0.63%,17.25,83853008.76,32827
2017-11-20,17.55,17.57,17.095,17.36,6616176,-0.19,-1.08%,17.36,114635405.03,42859
2017-11-17,17.385,17.73,16.82,17.55,6901860,0.79,4.71%,17.55,120477453.28,45489
2017-11-16,16.68,16.79,16.14,16.76,7194142,0.04,0.24%,16.76,118822499.57,44353
2017-11-15,16.27,16.79,15.99,16.72,3876865,0.44,2.70%,16.72,64167772.10,26863
2017-11-14,16.89,16.97,16.22,16.28,4648530,-0.71,-4.18%,16.28,76309296.94,35224
2017-11-13,17.17,17.20,16.58,16.99,4086246,-0.20,-1.16%,16.99,68708657.37,28299
2017-11-10,17.23,17.335,17.045,17.19,3376814,0.02,0.12%,17.19,58078479.09,23417
2017-11-09,17.04,17.71,16.96,17.17,5462652,0.07,0.41%,17.17,94955335.01,41439
2017-11-08,17.22,17.4793,17.01,17.10,5534548,-0.23,-1.33%,17.10,94913325.15,35830
2017-11-07,17.41,18.09,17.24,17.33,9893800,0.23,1.35%,17.33,174067361.80,68951
2017-11-06,16.47,17.27,16.42,17.10,10553435,0.58,3.51%,17.10,177527034.14,70674
2017-11-03,17.21,17.21,16.20,16.52,10261717,-0.79,-4.56%,16.52,169643329.34,56101
2017-11-02,18.51,18.60,17.00,17.31,16160796,-1.85,-9.66%,17.31,284241445.43,91291
2017-11-01,18.94,19.315,18.77,19.16,6748531,0.28,1.48%,19.16,128872755.36,45823
2017-10-31,18.99,19.11,18.60,18.88,6102704,-0.10,-0.53%,18.88,114614127.09,38747
2017-10-30,19.02,19.30,18.91,18.98,3885847,-0.10,-0.52%,18.98,74117507.12,24371
2017-10-27,19.20,19.32,18.755,19.08,5013799,-0.26,-1.34%,19.08,95341549.44,32413
2017-10-26,19.24,19.485,19.11,19.34,2573226,0.08,0.42%,19.34,49807329.00,17775
2017-10-25,19.37,19.39,19.07,19.26,3119107,-0.20,-1.03%,19.26,59920971.19,24111
2017-10-24,19.58,19.68,19.43,19.46,3764336,-0.16,-0.82%,19.46,73586862.56,25600
2017-10-23,20.27,20.27,19.59,19.62,4113294,-0.67,-3.30%,19.62,81349014.43,28286
2017-10-20,20.19,20.30,20.04,20.29,3350335,0.20,1.00%,20.29,67716676.19,23986
2017-10-19,19.55,20.11,19.50,20.09,5213109,0.46,2.34%,20.09,103530989.33,34954
2017-10-18,19.28,19.67,19.16,19.63,6599821,0.47,2.45%,19.63,128673693.92,41775
2017-10-17,18.97,19.215,18.605,19.16,7846306,0.10,0.52%,19.16,148622539.13,47805
2017-10-16,19.30,19.31,18.98,19.06,4760707,-0.18,-0.94%,19.06,91123654.85,28139
2017-10-13,19.30,19.39,19.01,19.24,5120992,-0.04,-0.21%,19.24,98428579.80,30733
2017-10-12,19.82,19.90,19.27,19.28,11046839,-0.72,-3.60%,19.28,216469858.09,65694
2017-10-11,20.56,20.60,19.95,20.00,3969279,-0.53,-2.58%,20.00,79802084.38,25178
2017-10-10,20.82,20.915,20.29,20.53,3237574,-0.30,-1.44%,20.53,66633158.01,21749
