date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2018-03-12,3.11,3.17,3.05,3.11,26295671,0.01,0.32%,3.11,82133792.09,48148
2018-03-09,3.05,3.11,3.01,3.10,29126744,0.13,4.38%,3.10,89357326.26,40899
2018-03-08,3.06,3.08,2.97,2.97,21201471,-0.07,-2.30%,2.97,63820243.97,38556
2018-03-07,3.05,3.14,3.01,3.04,27705875,-0.07,-2.25%,3.04,84731658.45,46222
2018-03-06,3.16,3.18,3.025,3.11,27476909,-0.01,-0.32%,3.11,85124947.84,45401
2018-03-05,2.95,3.18,2.93,3.12,37361889,0.16,5.41%,3.12,115698225.41,67799
2018-03-02,2.80,2.98,2.77,2.96,31861759,0.16,5.71%,2.96,92388618.58,53562
2018-03-01,2.83,2.90,2.77,2.80,43314007,-0.02,-0.71%,2.80,122681250.69,63617
2018-02-28,3.06,3.09,2.80,2.82,53447262,-0.24,-7.84%,2.82,154176858.12,72057
2018-02-27,3.18,3.23,3.06,3.06,38960648,-0.15,-4.67%,3.06,121375353.46,61859
2018-02-26,3.20,3.28,3.06,3.21,38198254,0.01,0.31%,3.21,121772061.13,60558
2018-02-23,3.38,3.43,3.04,3.20,78438282,0.00,0.00%,3.20,252085656.64,115294
2018-02-22,2.87,3.33,2.86,3.20,130538189,0.57,21.67%,3.20,407258916.26,181878
2018-02-21,2.78,2.7928,2.63,2.63,36241169,-0.14,-5.05%,2.63,96889968.02,59353
2018-02-20,2.77,2.79,2.73,2.77,21245840,0.04,1.47%,2.77,58632463.34,36453
2018-02-16,2.85,2.86,2.70,2.73,29056614,-0.13,-4.55%,2.73,80723312.56,44416
2018-02-15,2.82,2.88,2.72,2.86,27714269,0.06,2.14%,2.86,77802904.79,47480
2018-02-14,2.70,2.865,2.66,2.80,26924864,0.06,2.19%,2.80,75288166.31,44399
2018-02-13,2.85,2.87,2.72,2.74,31013982,-0.11,-3.86%,2.74,86017992.40,53765
2018-02-12,2.92,2.97,2.84,2.85,32884839,0.00,0.00%,2.85,95208120.10,50265
2018-02-09,2.85,2.87,2.53,2.85,66470835,0.03,1.06%,2.85,178708767.55,91038
2018-02-08,2.92,2.955,2.80,2.82,33741894,-0.07,-2.42%,2.82,96445197.94,48361
2018-02-07,3.12,3.16,2.80,2.89,71174880,-0.24,-7.67%,2.89,210987682.58,95467
2018-02-06,3.01,3.19,2.98,3.13,46965963,0.04,1.29%,3.13,147000974.99,78667
2018-02-05,3.30,3.37,3.00,3.09,51894368,-0.24,-7.21%,3.09,163819673.85,84799
2018-02-02,3.43,3.44,3.30,3.33,42975946,-0.13,-3.76%,3.33,143139037.87,80607
2018-02-01,3.49,3.50,3.30,3.46,50696229,-0.04,-1.14%,3.46,172801290.41,78540
2018-01-31,3.68,3.69,3.50,3.50,42937414,-0.13,-3.58%,3.50,152719021.24,73730
2018-01-30,3.85,3.85,3.62,3.63,58594743,-0.25,-6.44%,3.63,216004539.52,82113
2018-01-29,3.95,3.99,3.86,3.88,26759540,-0.12,-3.00%,3.88,104533707.89,52208
2018-01-26,4.00,4.01,3.94,4.00,20907786,0.04,1.01%,4.00,83302724.50,51996
2018-01-25,4.14,4.18,3.92,3.96,32781941,-0.12,-2.94%,3.96,132020580.16,53480
2018-01-24,4.09,4.18,4.07,4.08,29132060,0.01,0.25%,4.08,119931651.17,58396
2018-01-23,4.05,4.11,3.97,4.07,29459882,0.10,2.52%,4.07,119273340.46,46073
2018-01-22,3.97,3.99,3.90,3.97,28296542,0.02,0.51%,3.97,111553542.42,58631
2018-01-19,4.00,4.00,3.91,3.95,22388586,-0.04,-1.00%,3.95,88272149.68,40657
2018-01-18,4.07,4.08,3.97,3.99,23808943,-0.10,-2.44%,3.99,95474099.52,35390
2018-01-17,4.17,4.18,4.02,4.09,33307850,-0.05,-1.21%,4.09,136201927.29,48063
2018-01-16,4.30,4.30,4.12,4.14,32862603,-0.14,-3.27%,4.14,137485924.80,52215
2018-01-12,4.22,4.335,4.18,4.28,33197075,0.09,2.15%,4.28,141537123.54,58584
2018-01-11,4.04,4.26,4.01,4.19,55791513,0.19,4.75%,4.19,233120206.37,74159
2018-01-10,4.08,4.10,4.00,4.00,51016470,-0.05,-1.23%,4.00,206711696.17,41933
2018-01-09,4.00,4.10,3.98,4.05,28577272,0.08,2.02%,4.05,116053787.61,52051
2018-01-08,4.00,4.0001,3.88,3.97,20873143,-0.02,-0.50%,3.97,82029677.77,34006
2018-01-05,4.02,4.02,3.93,3.99,33664202,-0.06,-1.48%,3.99,133605441.31,47763
2018-01-04,4.12,4.12,4.00,4.05,33915375,-0.02,-0.49%,4.05,137524166.31,50666
2018-01-03,4.14,4.16,4.03,4.07,30351079,-0.03,-0.73%,4.07,123838988.50,47736
2018-01-02,4.05,4.17,4.00,4.10,35227973,0.14,3.54%,4.10,144678572.56,53580
2017-12-29,4.08,4.13,3.96,3.96,24078402,-0.08,-1.98%,3.96,97052212.98,39664
2017-12-28,3.96,4.09,3.91,4.04,30521171,0.16,4.12%,4.04,122625397.07,47101
2017-12-27,4.01,4.05,3.88,3.88,19576399,-0.12,-3.00%,3.88,77165916.78,33180
2017-12-26,3.89,4.00,3.88,4.00,18600567,0.15,3.90%,4.00,73786756.64,34651
2017-12-22,3.82,3.95,3.82,3.85,20203975,0.01,0.26%,3.85,78762509.41,33320
2017-12-21,3.72,3.88,3.71,3.84,24149630,0.06,1.59%,3.84,92272524.33,40151
2017-12-20,3.65,3.80,3.60,3.78,24255770,0.17,4.71%,3.78,89979713.76,39590
2017-12-19,3.685,3.74,3.61,3.61,19471783,-0.08,-2.17%,3.61,71572082.28,29215
2017-12-18,3.58,3.70,3.52,3.69,29966540,0.18,5.13%,3.69,108589181.63,45535
2017-12-15,3.655,3.69,3.50,3.51,42186755,-0.13,-3.57%,3.51,150059384.39,52395
2017-12-14,3.73,3.81,3.64,3.64,25477452,-0.08,-2.15%,3.64,94457704.24,37805
2017-12-13,3.83,3.8587,3.71,3.72,16893913,-0.09,-2.36%,3.72,63671688.33,27899
2017-12-12,3.89,3.90,3.754,3.81,24526125,-0.02,-0.52%,3.81,93477572.94,45588
2017-12-11,3.71,3.88,3.71,3.83,24553572,0.15,4.08%,3.83,93829535.67,43923
2017-12-08,3.75,3.80,3.66,3.68,29977293,-0.02,-0.54%,3.68,111375835.77,47066
2017-12-07,3.81,3.81,3.69,3.70,28232726,-0.07,-1.86%,3.70,105372353.90,46591
2017-12-06,3.92,3.94,3.76,3.77,27758296,-0.15,-3.83%,3.77,106659448.09,44521
2017-12-05,3.98,4.04,3.92,3.92,21784126,-0.03,-0.76%,3.92,86393861.36,38578
2017-12-04,4.08,4.14,3.91,3.95,20600622,-0.14,-3.42%,3.95,83098500.61,37998
2017-12-01,4.10,4.24,4.07,4.09,26800608,0.02,0.49%,4.09,110829706.69,55523
2017-11-30,4.05,4.25,4.04,4.07,40997505,0.02,0.49%,4.07,169190922.49,65710
2017-11-29,3.89,4.07,3.87,4.05,33393753,0.18,4.65%,4.05,133554441.45,48099
2017-11-28,3.83,3.90,3.77,3.87,12737254,0.06,1.57%,3.87,49100381.90,23792
2017-11-27,3.92,3.93,3.80,3.81,18732926,-0.11,-2.81%,3.81,71947118.03,33161
2017-11-24,4.00,4.05,3.90,3.92,13097662,-0.05,-1.26%,3.92,51700139.26,23158
2017-11-22,3.87,3.98,3.85,3.97,19226598,0.16,4.20%,3.97,75473818.18,33089
2017-11-21,3.90,3.94,3.80,3.81,20470505,-0.06,-1.55%,3.81,78905588.10,38802
2017-11-20,3.94,4.05,3.85,3.87,24073368,-0.15,-3.73%,3.87,94834794.41,45793
2017-11-17,3.90,4.05,3.89,4.02,21898004,0.17,4.42%,4.02,87332940.71,32489
2017-11-16,3.865,3.935,3.83,3.85,18918031,0.00,0.00%,3.85,73221387.67,35112
